File,Lines,Size,Type,Action,GP_Replacement,Status,Notes
"functions.php",     473, 16K,PHP,,PENDING,
"taxonomy-solution_category.php",     167,8.0K,PHP,,PENDING,
"inc/acf-solution-fields.php",     312,8.0K,PHP,,PENDING,
"inc/paper-stack-config.php",     336, 12K,PHP,,PENDING,
"inc/theme-options.php",     140,4.0K,PHP,,PENDING,
"inc/contact-ajax.php",     419, 16K,PHP,,PENDING,
"inc/acf-fields.php",     382, 16K,PHP,,PENDING,
"inc/custom-post-types.php",     638, 32K,PHP,,PENDING,
"inc/acf-seo-fields.php",      55,4.0K,PHP,,PENDING,
"inc/enqueue.php",     222,8.0K,PHP,,PENDING,
"inc/customizer-callbacks.php",     106,4.0K,PHP,,PENDING,
"inc/customizer.php",      56,4.0K,PHP,,PENDING,
"inc/components.php",     641, 24K,PHP,,PENDING,
"inc/aitsc-content-data.php",     401, 28K,PHP,,PENDING,
"inc/content-seeder.php",     110,8.0K,PHP,,PENDING,
"inc/template-tags.php",     272,8.0K,PHP,,PENDING,
"single-solutions.php",     423, 16K,PHP,,PENDING,
"page-contact.php",      36,4.0K,PHP,,PENDING,
"index.php",      60,4.0K,PHP,,PENDING,
"customizer/panels/cpt.php",     508, 20K,PHP,,PENDING,
"customizer/panels/colors.php",      91,4.0K,PHP,,PENDING,
"customizer/panels/typography.php",     104,4.0K,PHP,,PENDING,
"customizer/panels/homepage-advanced.php",     887, 36K,PHP,,PENDING,
"customizer/panels/layout.php",      80,4.0K,PHP,,PENDING,
"customizer/panels/header.php",      89,4.0K,PHP,,PENDING,
"customizer/panels/footer.php",      70,4.0K,PHP,,PENDING,
"customizer/panels/homepage.php",     109,4.0K,PHP,,PENDING,
"tests/test-rate-limiting.php",     675, 24K,PHP,,PENDING,
"components/tabs/tabs-block.php",      90,4.0K,PHP,,PENDING,
"components/card/card-base.php",     256,8.0K,PHP,,PENDING,
"components/cta/cta-block.php",     156,8.0K,PHP,,PENDING,
"components/cta/form-placeholder.php",     125,4.0K,PHP,,PENDING,
"components/gallery/gallery-slider.php",      80,4.0K,PHP,,PENDING,
"components/logo-carousel/logo-carousel.php",     125,8.0K,PHP,,PENDING,
"components/navigation/related-pages.php",     156,8.0K,PHP,,PENDING,
"components/problem-solution/problem-solution-block.php",     110,8.0K,PHP,,PENDING,
"components/steps/steps-block.php",     119,8.0K,PHP,,PENDING,
"components/testimonial/testimonial-carousel.php",     221,8.0K,PHP,,PENDING,
"components/image-composition/image-composition.php",     131,8.0K,PHP,,PENDING,
"components/hero/hero-universal.php",     276, 12K,PHP,,PENDING,
"components/hero/hero-solution-page.php",     147,8.0K,PHP,,PENDING,
"components/paper-stack/paper-stack.php",     258,8.0K,PHP,,PENDING,
"components/stats/stats-counter.php",     128,4.0K,PHP,,PENDING,
"components/trust-bar/trust-bar.php",      67,4.0K,PHP,,PENDING,
"header.php",     194,8.0K,PHP,,PENDING,
"single-case-studies.php",     128,4.0K,PHP,,PENDING,
"template-parts/services-mobile-optimized.php",    1026, 36K,PHP,,PENDING,
"template-parts/content-solutions.php",     100,4.0K,PHP,,PENDING,
"template-parts/stats-section.php",     177,8.0K,PHP,,PENDING,
"template-parts/single-solutions.php",     310, 12K,PHP,,PENDING,
"template-parts/solutions-showcase.php",     292, 16K,PHP,,PENDING,
"template-parts/content-none.php",      48,4.0K,PHP,,PENDING,
"template-parts/global-background.php",     115,4.0K,PHP,,PENDING,
"template-parts/content.php",      51,4.0K,PHP,,PENDING,
"template-parts/solution/hero-fleet.php",     308, 12K,PHP,,PENDING,
"template-parts/solution/science.php",      51,4.0K,PHP,,PENDING,
"template-parts/solution/features.php",      99,4.0K,PHP,,PENDING,
"template-parts/solution/specs.php",      99,4.0K,PHP,,PENDING,
"template-parts/solution/hero.php",     159,8.0K,PHP,,PENDING,
"template-parts/solution/gallery.php",     119,8.0K,PHP,,PENDING,
"template-parts/solution/overview.php",     303, 12K,PHP,,PENDING,
"template-parts/solution/sections.php",     106,8.0K,PHP,,PENDING,
"template-parts/solution/related-pages.php",      94,4.0K,PHP,,PENDING,
"template-parts/solution/blog-insights.php",      70,4.0K,PHP,,PENDING,
"template-parts/solution/cta.php",     169, 12K,PHP,,PENDING,
"template-parts/solution/ecosystem.php",      49,4.0K,PHP,,PENDING,
"template-parts/solution/case-studies.php",      73,4.0K,PHP,,PENDING,
"template-parts/solution/tech-solutions.php",      45,4.0K,PHP,,PENDING,
"template-parts/single-case-studies.php",     401, 16K,PHP,,PENDING,
"template-parts/content-solutions-enhanced.php",     372, 24K,PHP,,PENDING,
"template-parts/testimonials.php",     533, 24K,PHP,,PENDING,
"template-parts/content-case-studies-enhanced.php",     515, 32K,PHP,,PENDING,
"template-parts/case-studies-preview.php",     370, 16K,PHP,,PENDING,
"template-parts/cta-advanced.php",     491, 20K,PHP,,PENDING,
"template-parts/hero-advanced.php",     199, 12K,PHP,,PENDING,
"template-parts/theme-toggle.php",      48,4.0K,PHP,,PENDING,
"template-parts/content-case-studies.php",     263, 12K,PHP,,PENDING,
"template-parts/hero-mobile-optimized.php",     749, 24K,PHP,,PENDING,
"template-parts/contact-form-advanced.php",     102,8.0K,PHP,,PENDING,
"template-parts/navigation.php",     108,4.0K,PHP,,PENDING,
"archive-solutions.php",     137,4.0K,PHP,,PENDING,
"footer.php",     257,8.0K,PHP,,PENDING,
"single.php",     170, 12K,PHP,,PENDING,
"page-about-aitsc.php",     152,8.0K,PHP,,PENDING,
"page.php",      54,4.0K,PHP,,PENDING,
"archive-case-studies.php",      81,4.0K,PHP,,PENDING,
"taxonomy-solution_category-passenger-monitoring-systems.php",     521, 28K,PHP,,PENDING,
"page-fleet-safe-pro.php",    1131, 48K,PHP,,PENDING,
"sidebar.php",      16,4.0K,PHP,,PENDING,
"front-page.php",     234, 12K,PHP,,PENDING,
